courseCode,sectionCode,classNumber,modeOfInstruction,title,satisfies,units,type,days,times,instructor,location,dates,openSeats,notes
"AAS 1","01","27518","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","MW","09:00AM-10:15AM","Joanne Rondilla","DMH355","01/22/26-05/11/26",0,""
"AAS 1","02","27506","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","MW","10:30AM-11:45AM","Joanne Rondilla","DMH355","01/22/26-05/11/26",0,""
"AAS 1","03","27507","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TR","09:00AM-10:15AM","Lawrence Lan","DMH166","01/22/26-05/11/26",0,""
"AAS 1","04","27508","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TR","10:30AM-11:45AM","Lawrence Lan","DMH166","01/22/26-05/11/26",0,""
"AAS 1","05","27509","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TR","10:30AM-11:45AM","Saugher Nojan","BBC203","01/22/26-05/11/26",4,""
"AAS 1","07","27511","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TR","12:00PM-01:15PM","Wayne Jopanda","DMH165","01/22/26-05/11/26",0,""
"AAS 1","08","27512","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TR","01:30PM-02:45PM","Wayne Jopanda","DMH165","01/22/26-05/11/26",0,""
"AAS 1","09","27513","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TR","03:00PM-04:15PM","Lawrence Lan","DMH358","01/22/26-05/11/26",0,""
"AAS 1","10","27514","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TR","03:00PM-04:15PM","Saugher Nojan","BBC003","01/22/26-05/11/26",0,""
"AAS 1","11","27515","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","M","06:00PM-08:45PM","Lan Nguyen","DMH163","01/22/26-05/11/26",2,""
"AAS 1","12","27519","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","T","06:00PM-08:45PM","Lan Nguyen","DMH163","01/22/26-05/11/26",2,""
"AAS 1","13","27520","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","W","06:00PM-08:45PM","Lawrence Lan","DMH208","01/22/26-05/11/26",4,""
"AAS 1","14","29585","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","MW","03:00PM-04:15PM","Lan Nguyen","DMH358","01/22/26-05/11/26",0,""
"AAS 1","15","29866","In Person","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TR","04:30PM-05:45PM","Lawrence Lan","DMH358","01/22/26-05/11/26",2,""
"AAS 1","80","27516","Fully Online","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TBA","TBA","Catherine Fung","ONLINE","01/22/26-05/11/26",0,"FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti"
"AAS 1","81","27517","Fully Online","Introduction to Asian American Studies","GE: 6",3.0,"LEC","TBA","TBA","Lan Nguyen","ONLINE","01/22/26-05/11/26",0,"FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti"
"AAS 25","01","29124","In Person","The Changing Majority: Power and Ethnicity in America","GE: 6",3.0,"LEC","MW","10:30AM-11:45AM","Ella Diaz","CL202","01/22/26-05/11/26",19,""
"AAS 25","02","29125","In Person","The Changing Majority: Power and Ethnicity in America","GE: 6",3.0,"LEC","TR","03:00PM-04:15PM","Maria Cruz","CL302","01/22/26-05/11/26",16,""
